Algorithm,TimeTaken,Nodes,Time/Node
astar,0.0098,1976,0.00000495
dijkstra,0.0078,1523,0.00000511
astar,0.0025,357,0.00000697
dijkstra,0.0206,4876,0.00000423
dijkstra,0.0117,2355,0.00000497
astar,0.0048,792,0.00000606
dijkstra,0.0085,1940,0.00000436
astar,0.0041,781,0.00000524
astar,0.0107,1960,0.00000546
dijkstra,0.0230,4507,0.00000510
astar,0.0067,625,0.00001080
dijkstra,0.0295,3124,0.00000945
astar,0.0029,522,0.00000551
dijkstra,0.0057,1287,0.00000442
astar,0.0052,1036,0.00000506
dijkstra,0.0133,3129,0.00000426
astar,0.0047,789,0.00000601
dijkstra,0.0101,2003,0.00000504
astar,0.0019,300,0.00000643
dijkstra,0.0045,998,0.00000447
dijkstra,0.0197,3980,0.00000495
dijkstra,0.0196,3980,0.00000493
astar,0.0105,1912,0.00000549
astar,0.0077,712,0.00001080
dijkstra,0.0308,3298,0.00000933
astar,0.0041,796,0.00000510
dijkstra,0.0070,1562,0.00000451
dijkstra,0.1551,5748,0.00002698
dijkstra,0.0973,5856,0.00001661
dijkstra,0.1088,5899,0.00001844
dijkstra,0.1028,5899,0.00001743
dijkstra,0.1002,5899,0.00001698
dijkstra,0.0740,5899,0.00001255
dijkstra,0.0702,5899,0.00001189
dijkstra,0.0500,5899,0.00000848
dijkstra,0.0421,5899,0.00000714
dijkstra,0.0533,5899,0.00000904
dijkstra,0.0593,5899,0.00001006
dijkstra,0.0423,5899,0.00000716
dijkstra,0.0486,5899,0.00000824
dijkstra,0.0515,5899,0.00000873
dijkstra,0.0379,5899,0.00000642
dijkstra,0.1210,5899,0.00002050
dijkstra,0.0931,5899,0.00001578
dijkstra,0.0961,5911,0.00001626
dijkstra,0.0429,5920,0.00000725
dijkstra,0.0610,5920,0.00001030
dijkstra,0.0508,5920,0.00000858
dijkstra,0.0741,5931,0.00001249
dijkstra,0.0664,5931,0.00001119
dijkstra,0.0735,5931,0.00001239
dijkstra,0.0443,5931,0.00000747
dijkstra,0.0654,5940,0.00001101
dijkstra,0.0557,5940,0.00000938
dijkstra,0.0742,5940,0.00001249
dijkstra,0.0759,5952,0.00001275
dijkstra,0.1168,5952,0.00001963
dijkstra,0.1242,5952,0.00002087
dijkstra,0.0858,5960,0.00001440
dijkstra,0.0471,5960,0.00000790
dijkstra,0.0499,5960,0.00000837
dijkstra,0.0575,5960,0.00000965
dijkstra,0.0438,5970,0.00000733
dijkstra,0.0720,5970,0.00001206
dijkstra,0.1071,5960,0.00001796
dijkstra,0.0704,5960,0.00001181
dijkstra,0.0772,5960,0.00001296
dijkstra,0.1112,5970,0.00001863
dijkstra,0.1167,5970,0.00001954
dijkstra,0.0502,5984,0.00000839
dijkstra,0.0602,5995,0.00001004
dijkstra,0.0539,5995,0.00000898
dijkstra,0.0668,5995,0.00001114
dijkstra,0.0725,6004,0.00001207
dijkstra,0.0737,6004,0.00001227
dijkstra,0.0584,6019,0.00000971
dijkstra,0.0657,6019,0.00001091
dijkstra,0.0762,6032,0.00001263
dijkstra,0.0378,6032,0.00000626
dijkstra,0.0550,6032,0.00000912
dijkstra,0.0652,6032,0.00001081
dijkstra,0.0734,6049,0.00001213
dijkstra,0.0769,6049,0.00001272
dijkstra,0.0969,6049,0.00001603
dijkstra,0.0947,6049,0.00001565
dijkstra,0.0766,6061,0.00001263
dijkstra,0.0782,6061,0.00001290
dijkstra,0.0762,6061,0.00001258
dijkstra,0.0474,6061,0.00000782
dijkstra,0.0452,6061,0.00000746
dijkstra,0.0568,6069,0.00000937
dijkstra,0.0849,6069,0.00001400
dijkstra,0.0837,6072,0.00001378
dijkstra,0.0545,6072,0.00000898
dijkstra,0.0550,6072,0.00000906
dijkstra,0.0806,6077,0.00001327
